slide,source_png,chapter,kind,title,subtitle,web_image
1,01_cover.png,,content,Water-Burial Among the Crocodiles,,assets/images/0001.png
2,02_orientation.png,,content,About this teaching series,"How each chapter is taught.  One title card fixes the chapter's place, source and epigraph; then teaching cards vary in number with the chapter's length and density — longer, denser chapters receive more cards.",assets/images/0002.png
3,03_ch-100_title.png,-100,title,Conch and Silver,शंख आ रजत    Śaṅkha ā Rajat,assets/images/0003.png
4,04_ch-100_frame.png,-100,content,"The frame: a village, a witness, and one small question",Conch and Silver  ·  शंख आ रजत    —    card 1 of 3,assets/images/0004.png
5,05_ch-100_three-errors.png,-100,content,"Three theories of error, tested at the door",Conch and Silver  ·  शंख आ रजत    —    card 2 of 3,assets/images/0005.png
6,06_ch-100_bhamati-move.png,-100,content,From the conch to the world: the Bhāmatī move,Conch and Silver  ·  शंख आ रजत    —    card 3 of 3,assets/images/0006.png
7,07_ch-99_title.png,-99,title,Establishing the Self,आत्मसिद्धि-वाद    Ātmasiddhi-vāda,assets/images/0007.png
8,08_ch-99_debate.png,-99,content,"The debate: is there anyone who says ""I""?",Establishing the Self  ·  आत्मसिद्धि-वाद    —    card 1 of 3,assets/images/0008.png
9,09_ch-99_no-knower.png,-99,content,Against a world with no knower behind it,Establishing the Self  ·  आत्मसिद्धि-वाद    —    card 2 of 3,assets/images/0009.png
10,10_ch-99_memory.png,-99,content,Memory proves a Self — and a Self worth keeping,Establishing the Self  ·  आत्मसिद्धि-वाद    —    card 3 of 3,assets/images/0010.png
11,11_ch-98_title.png,-98,title,Who Made This World?,केऽ बनौलक ई जगत?    Ke'i Banaulak Ī Jagat?,assets/images/0011.png
12,12_ch-98_square.png,-98,content,A quarrel in the village square,Who Made This World?  ·  केऽ बनौलक ई जगत?    —    card 1 of 3,assets/images/0012.png
13,13_ch-98_order-and-name.png,-98,content,"Order, upkeep, and the first name",Who Made This World?  ·  केऽ बनौलक ई जगत?    —    card 2 of 3,assets/images/0013.png
14,14_ch-98_verdict.png,-98,content,"The verdict: not silence, but a better question",Who Made This World?  ·  केऽ बनौलक ई जगत?    —    card 3 of 3,assets/images/0014.png
15,15_ch-97_title.png,-97,title,The Wishing-Jewel of Thought,चिंतामणि रत्न    Cintāmaṇi Ratna,assets/images/0015.png
16,16_ch-97_method.png,-97,content,The method before the doctrine,The Wishing-Jewel of Thought  ·  चिंतामणि रत्न    —    card 1 of 3,assets/images/0016.png
17,17_ch-97_definitions.png,-97,content,"Two definitions, cut and re-cut",The Wishing-Jewel of Thought  ·  चिंतामणि रत्न    —    card 2 of 3,assets/images/0017.png
18,18_ch-97_god-inference.png,-97,content,The inference of God — named with precision,The Wishing-Jewel of Thought  ·  चिंतामणि रत्न    —    card 3 of 3,assets/images/0018.png
19,19_ch-96_title.png,-96,title,Guarding the Memory,स्मृति-रक्षा    Smṛti-rakṣā,assets/images/0019.png
20,20_ch-96_well-and-verdict.png,-96,content,"A death by the well, and a rushed verdict",Guarding the Memory  ·  स्मृति-रक्षा    —    card 1 of 2,assets/images/0020.png
21,21_ch-96_birth-of-burhba.png,-96,content,"The unfinished line, and the birth of Būṛhbā",Guarding the Memory  ·  स्मृति-रक्षा    —    card 2 of 2,assets/images/0021.png
22,22_ch-95_title.png,-95,title,The Submerged Manuscript,जलमग्न पाण्डुलिपि    Jalamagna Pāṇḍulipi,assets/images/0022.png
23,23_ch-95_fire.png,-95,content,"The fire, and a life spent to save the books",The Submerged Manuscript  ·  जलमग्न पाण्डुलिपि    —    card 1 of 2,assets/images/0023.png
24,24_ch-95_price-and-name.png,-95,content,The price of an obstacle-free completion,The Submerged Manuscript  ·  जलमग्न पाण्डुलिपि    —    card 2 of 2,assets/images/0024.png
25,25_ch-94_title.png,-94,title,The Silence of Four Mouths,चारि मुखक मौन    Cāri Mukhak Maun,assets/images/0025.png
26,26_ch-94_four-answers.png,-94,content,"Four philosophies, one hungry crowd",The Silence of Four Mouths  ·  चारि मुखक मौन    —    card 1 of 2,assets/images/0026.png
27,27_ch-94_witness-tree.png,-94,content,"The witness-tree, and the four faces",The Silence of Four Mouths  ·  चारि मुखक मौन    —    card 2 of 2,assets/images/0027.png
28,28_ch-93_title.png,-93,title,The Conch's Last Question,शंखक अन्तिम प्रश्न    Śaṅkhak Antim Praśna,assets/images/0028.png
29,29_ch-93_last-question.png,-93,content,"A lifetime of doubt, come to die",The Conch's Last Question  ·  शंखक अन्तिम प्रश्न    —    card 1 of 2,assets/images/0029.png
